ingredient,frequency,harm_level,harm_score
salt,390494,safe,1
sugar,275188,moderately high,3
water,268179,safe,1
sel,181415,moderate,2
eau,146705,moderate,2
sucre,145414,moderate,2
citric acid,107127,moderate,2
dextrose,97484,moderately high,3
wheat flour,70707,safe,1
niacin,69293,moderate,2
milk,63561,safe,1
riboflavin,61736,moderate,2
soy lecithin,59037,moderate,2
natural flavor,56947,moderate,2
spices,52699,moderate,2
folic acid,51980,moderate,2
corn syrup,51917,moderately high,3
zucker,49980,moderate,2
sea salt,49574,safe,1
maltodextrin,48106,moderately high,3
enzymes,43701,moderate,2
xanthan gum,41081,moderate,2
soybean oil,39355,moderate,2
natural flavors,39114,moderate,2
reduced iron,39033,moderate,2
wasser,38741,moderate,2
lait,37916,moderate,2
cocoa butter,36508,safe,1
undefined,36262,moderate,2
palm oil,34245,moderate,2
garlic,33665,safe,1
speisesalz,33342,moderate,2
thiamine mononitrate,32916,moderate,2
yeast,32465,moderate,2
garlic powder,30787,moderate,2
ascorbic acid,30522,safe,1
preservative,30521,moderately high,3
huile de tournesol,30229,moderate,2
corn starch,30219,moderate,2
farine de bl,29740,moderate,2
vegetable oil,29739,moderate,2
cream,29269,safe,1
onion powder,29046,moderate,2
sirop de glucose,28359,moderately high,3
sal,27923,moderate,2
whey,27860,moderate,2
sunflower oil,27685,moderate,2
vinegar,27589,moderate,2
guar gum,27338,moderate,2
paprika,27094,moderate,2
huile de colza,26309,moderate,2
yeast extract,26280,moderate,2
iron,26250,moderate,2
beurre de cacao,25778,moderate,2
high fructose corn syrup,25520,moderately high,3
canola oil,25289,moderate,2
color,25207,moderate,2
soja,24651,moderate,2
aroma,22773,moderate,2
baking soda,22563,moderate,2
modified corn starch,22481,moderate,2
pices,22134,moderate,2
thiamin mononitrate,22041,moderate,2
potassium sorbate,21728,moderate,2
sodium bicarbonate,21631,moderate,2
onion,21576,safe,1
butter,21505,safe,1
caramel color,21494,moderately high,3
lactose,21374,moderate,2
emulsifier,21220,moderate,2
ail,21115,moderate,2
lactic acid,20962,moderate,2
zout,19907,moderate,2
armes,19861,moderate,2
pte de cacao,19770,moderate,2
azcar,19752,moderate,2
arme,19654,moderate,2
salz,19563,moderate,2
carrageenan,19208,moderately high,3
cane sugar,19206,moderately high,3
sodium citrate,18922,moderate,2
arme naturel,18577,moderate,2
cheese cultures,18567,safe,1
gluten,18533,moderate,2
levure,18422,moderate,2
sucralose,17676,moderately high,3
gewrze,17660,moderate,2
wheat,17523,safe,1
calcium carbonate,17487,moderate,2
rice flour,17477,safe,1
vitamin c,17472,moderate,2
honey,17409,safe,1
agua,17362,moderate,2
modified food starch,17274,moderate,2
cheese culture,17220,safe,1
malted barley flour,17122,safe,1
armes naturels,16954,moderate,2
tomato paste,16436,safe,1
glucose syrup,16365,moderately high,3
brown sugar,16251,moderately high,3
spice,15998,safe,1
rapeseed oil,15658,moderate,2
sodium phosphate,15479,moderately high,3
natural and artificial flavors,15440,moderate,2
palm,15324,moderate,2
artificial flavor,15189,moderately high,3
sale,15138,moderate,2
almonds,15096,moderate,2
black pepper,14975,safe,1
red,14746,moderate,2
distilled vinegar,14654,moderate,2
molasses,14654,moderate,2
vitamin a palmitate,14624,moderate,2
potato starch,14602,moderate,2
pasteurized milk,14589,safe,1
suiker,14532,moderate,2
eggs,14219,moderate,2
sodium benzoate,14137,hazardous,4
peanuts,14115,moderate,2
leavening,13887,moderate,2
monocalcium phosphate,13823,moderately high,3
skim milk,13770,safe,1
malic acid,13598,moderate,2
cocoa,13582,safe,1
cornstarch,13426,moderate,2
pectin,13404,moderate,2
yellow,13273,moderate,2
coconut oil,13209,moderate,2
poivre,12998,moderate,2
natural and artificial flavor,12968,moderately high,3
wheat gluten,12946,safe,1
filtered water,12776,safe,1
weizenmehl,12618,moderate,2
glycerin,12581,moderate,2
nonfat milk,12573,safe,1
turmeric,12521,safe,1
onions,12424,moderate,2
cellulose gum,12415,moderate,2
corn,12336,safe,1
beurre,12303,moderate,2
rapsl,12296,moderate,2
vinaigre dalcool,12279,moderate,2
pork,11983,moderate,2
sodium acid pyrophosphate,11881,moderate,2
oignons,11659,moderate,2
vitamin b,11437,moderate,2
cinnamon,11332,safe,1
niacinamide,11330,moderate,2
thiamin,11329,moderate,2
monosodium glutamate,11296,moderately high,3
oignon,11270,moderate,2
mulsifiant,11118,moderate,2
calcium chloride,11056,moderate,2
maltodextrine,11040,moderate,2
emulgator,10905,moderate,2
cocoa mass,10865,safe,1
lait crm en poudre,10832,moderate,2
zucchero,10830,moderate,2
cocoa powder,10740,moderate,2
tapioca starch,10697,moderate,2
carbonated water,10691,safe,1
tomatoes,10670,moderate,2
whey powder,10644,moderate,2
acide citrique,10641,moderate,2
gelatin,10620,moderate,2
acidity regulator,10616,moderate,2
glukosesirup,10500,moderate,2
enriched wheat flour,10486,safe,1
blue,10441,moderate,2
locust bean gum,10384,moderate,2
pyridoxine hydrochloride,10350,moderate,2
chocolate liquor,10296,safe,1
antioxidant,10205,moderate,2
mono and diglycerides,10096,moderate,2
corn syrup solids,10083,moderately high,3
flavouring,10079,moderate,2
parsley,10043,moderate,2
kakaobutter,10035,moderate,2
potatoes,9959,moderate,2
enriched flour,9932,moderate,2
sonnenblumenl,9912,moderate,2
acidifiant acide citrique,9897,moderate,2
sorbitol,9743,moderate,2
ferments lactiques,9723,moderate,2
soy,9545,safe,1
nonfat dry milk,9447,safe,1
beef,9391,moderate,2
palme,9390,moderate,2
arme naturel de vanille,9372,moderate,2
fructose,9365,moderately high,3
sunflower lecithin,9353,moderate,2
kakaomasse,9329,moderate,2
acqua,9261,moderate,2
wheat starch,9250,moderate,2
calcium sulfate,9180,moderate,2
chocolate,9165,safe,1
colour,8859,moderate,2
carrots,8779,moderate,2
potassium chloride,8699,moderate,2
natrliches aroma,8691,moderate,2
for color,8676,moderate,2
whey protein concentrate,8629,moderate,2
gum arabic,8629,moderate,2
sirop de glucosefructose,8582,moderate,2
sodium nitrite,8559,hazardous,4
processed with alkali,8538,moderate,2
amidon de mas,8535,moderate,2
lemon juice concentrate,8532,moderate,2
organic cane sugar,8501,moderately high,3
colza,8498,moderate,2
carnauba wax,8495,moderate,2
vinaigre,8487,moderate,2
moutarde,8480,moderate,2
titanium dioxide,8448,hazardous,4
preservatives,8369,moderate,2
whole milk powder,8307,moderate,2
crme,8293,moderate,2
persil,8285,moderate,2
ferrous sulfate,8276,moderate,2
glucose,8170,moderately high,3
flavourings,8117,moderate,2
ginger,8110,safe,1
coconut,8099,safe,1
vanilla extract,8082,moderate,2
soybeans,8046,moderate,2
origine france,8002,moderate,2
cumin,7999,safe,1
celery,7967,moderate,2
oregano,7962,moderate,2
sodium erythorbate,7957,moderate,2
olive oil,7749,moderate,2
vanilla,7730,safe,1
sunflower,7710,moderate,2
annatto,7638,moderate,2
modifizierte strke,7635,moderate,2
palm kernel oil,7572,moderate,2
dehydrated garlic,7550,safe,1
branntweinessig,7507,moderate,2
calcium propionate,7503,moderate,2
meersalz,7496,moderate,2
rice,7424,safe,1
tournesol,7390,moderate,2
buttermilk,7387,moderate,2
cheddar cheese,7270,safe,1
flour,7243,moderate,2
melk,7073,moderate,2
colorant,7034,moderate,2
soybean,6997,safe,1
tomato puree,6978,safe,1
silicon dioxide,6972,moderate,2
lemon juice,6880,safe,1
farine de riz,6811,moderate,2
strke,6780,moderate,2
paprika extract,6734,moderate,2
cleri,6718,moderate,2
protines de lait,6714,moderate,2
extra virgin olive oil,6653,moderate,2
emulsifiers,6632,moderate,2
basil,6576,moderate,2
extrait de levure,6574,moderate,2
egg,6527,safe,1
baking powder,6518,moderate,2
polysorbate,6503,moderately high,3
hefe,6497,moderate,2
amidon,6457,moderate,2
seasoning,6450,moderate,2
raisins,6391,moderate,2
carrot,6362,safe,1
acesulfame potassium,6321,moderately high,3
soy flour,6314,safe,1
curcuma,6299,moderate,2
cocoa processed with alkali,6273,safe,1
zwiebeln,6260,moderate,2
vitamin e,6235,moderate,2
amidon modifi,6226,moderate,2
sel de cuisine,6226,moderate,2
skimmed milk powder,6203,moderate,2
tomato powder,6179,moderate,2
viande de porc,6155,moderate,2
lait entier en poudre,6140,moderate,2
trinkwasser,6124,moderate,2
milk chocolate,6097,safe,1
huile de palme,6085,moderate,2
sodium stearoyl lactylate,6072,moderate,2
sukker,6031,moderate,2
modified cornstarch,6031,moderate,2
monoglycerides,6027,moderate,2
whole wheat flour,5984,safe,1
dried garlic,5979,safe,1
invert sugar,5966,moderately high,3
egg whites,5952,safe,1
cashews,5926,moderate,2
sodium aluminum phosphate,5924,moderately high,3
sucre de canne,5891,moderate,2
carottes,5856,moderate,2
natural flavour,5821,moderate,2
gluten de bl,5781,moderate,2
sodium diacetate,5764,moderate,2
vanillin,5750,moderate,2
corn flour,5748,safe,1
dehydrated onion,5747,safe,1
vitamin d,5745,moderate,2
sodium caseinate,5741,moderate,2
sorbic acid,5740,moderate,2
cultures,5730,moderate,2
knoblauch,5720,moderate,2
cacao maigre en poudre,5703,moderate,2
sodium ascorbate,5681,moderate,2
bleached wheat flour,5670,safe,1
caramel,5666,moderate,2
huiles vgtales,5665,moderate,2
milch,5665,moderate,2
soy sauce,5612,safe,1
carotte,5593,moderate,2
disodium phosphate,5581,moderately high,3
margarine,5558,moderate,2
milk fat,5536,safe,1
farine de ble,5535,moderate,2
cornflour,5527,moderate,2
canola,5520,moderate,2
potassium citrate,5513,moderate,2
beta carotene,5512,safe,1
carob bean gum,5503,moderate,2
disodium inosinate,5469,moderately high,3
unsweetened chocolate,5449,safe,1
plantes aromatiques,5433,moderate,2
suerungsmittel citronensure,5419,moderate,2
sodium phosphates,5405,moderate,2
acidifiant,5399,moderate,2
vollmilchpulver,5385,moderate,2
vann,5365,moderate,2
bht,5347,hazardous,4
harina de trigo,5346,moderate,2
specerijen,5321,moderate,2
fcule de pomme de terre,5310,moderate,2
artificial color,5261,moderately high,3
magermilchpulver,5242,moderate,2
flavoring,5219,moderate,2
jus de citron concentr,5201,moderate,2
vegetable oils,5161,moderate,2
aromas,5155,moderate,2
dried onion,5152,safe,1
lcithine de soja,5112,moderate,2
ferments,5107,moderate,2
graines de moutarde,5102,moderate,2
tomate,5087,moderate,2
stabilisator,5057,moderate,2
soya lecithin,5054,moderate,2
milkfat,5028,moderate,2
miel,5010,moderate,2
cranberries,4991,moderate,2
cukier,4839,moderate,2
huile dolive vierge extra,4818,moderate,2
soy protein isolate,4805,safe,1
sel marin,4804,moderate,2
citronensure,4791,moderate,2
egg yolks,4787,safe,1
aromen,4779,moderate,2
inulin,4771,moderate,2
sesame seeds,4769,safe,1
amidon de bl,4710,moderate,2
conservateur,4710,moderate,2
dipotassium phosphate,4707,moderately high,3
zinc oxide,4691,moderate,2
phosphoric acid,4676,moderately high,3
parmesan cheese,4663,safe,1
acar,4658,moderate,2
poudre de lait crm,4649,moderate,2
tarwebloem,4645,moderate,2
sirop de sucre inverti,4621,moderate,2
natural flavouring,4609,moderate,2
from milk,4606,safe,1
thickener,4577,moderate,2
cyanocobalamin,4575,moderate,2
cido ctrico,4572,moderate,2
enbrandscompleted,4572,moderate,2
disodium guanylate,4571,moderately high,3
red lake,4555,moderate,2
lactosrum en poudre,4552,moderate,2
corn oil,4542,moderate,2
poisson,4539,moderate,2
raising agents,4524,moderate,2
artificial flavors,4522,moderate,2
dextrin,4518,moderate,2
tomato,4516,safe,1
amidon modifi de mas,4516,moderate,2
france,4510,moderate,2
jus de citron,4503,moderate,2
aspartame,4502,moderately high,3
spirit vinegar,4471,moderate,2
shea,4469,moderate,2
oeufs,4464,moderate,2
poudre lever,4441,moderate,2
whole milk,4433,safe,1
basilic,4429,moderate,2
ufs,4422,moderate,2
aceite de girasol,4422,moderate,2
gewrzextrakte,4420,moderate,2
soya,4406,moderate,2
mustard seed,4374,safe,1
coriander,4370,safe,1
humectant,4344,moderate,2
food starchmodified,4309,moderate,2
